song-name	url
We're On Our Way	https://www.allmusicals.com/lyrics/verygoodeddie/wereonourway.htm
Some Sort of Somebody	https://www.allmusicals.com/lyrics/verygoodeddie/somesortofsomebody.htm
Thirteen Collar	https://www.allmusicals.com/lyrics/verygoodeddie/thirteencollar.htm
Bungalow in Quogue	https://www.allmusicals.com/lyrics/verygoodeddie/bungalowinquogue.htm
Isn't It Great to Be Married	https://www.allmusicals.com/lyrics/verygoodeddie/isntitgreattobemarried.htm
Good Night Boat	https://www.allmusicals.com/lyrics/verygoodeddie/goodnightboat.htm
Left All Alone Again Blues	https://www.allmusicals.com/lyrics/verygoodeddie/leftallaloneagainblues.htm
Hot Dog!	https://www.allmusicals.com/lyrics/verygoodeddie/hotdog.htm
If You're a Friend of Mine	https://www.allmusicals.com/lyrics/verygoodeddie/ifyoureafriendofmine.htm
Wedding Bells Are Calling Me	https://www.allmusicals.com/lyrics/verygoodeddie/weddingbellsarecallingme.htm
Honeymoon Inn	https://www.allmusicals.com/lyrics/verygoodeddie/honeymooninn.htm
I've Got to Dance	https://www.allmusicals.com/lyrics/verygoodeddie/ivegottodance.htm
Moon of Love	https://www.allmusicals.com/lyrics/verygoodeddie/moonoflove.htm
Old Boy Neutral	https://www.allmusicals.com/lyrics/verygoodeddie/oldboyneutral.htm
Babes in the Wood	https://www.allmusicals.com/lyrics/verygoodeddie/babesinthewood.htm
Katy Did	https://www.allmusicals.com/lyrics/verygoodeddie/katydid.htm
Nodding Roses	https://www.allmusicals.com/lyrics/verygoodeddie/noddingroses.htm
Finale	https://www.allmusicals.com/lyrics/verygoodeddie/finale.htm
