song-name	url
Paris by Night	https://www.allmusicals.com/lyrics/victorvictoria/parisbynight.htm
If I Were a Man	https://www.allmusicals.com/lyrics/victorvictoria/ifiwereaman.htm
Trust Me	https://www.allmusicals.com/lyrics/victorvictoria/trustme.htm
Le Jazz Hot	https://www.allmusicals.com/lyrics/victorvictoria/lejazzhot.htm
Paris Makes Me Horny	https://www.allmusicals.com/lyrics/victorvictoria/parismakesmehorny.htm
Crazy World	https://www.allmusicals.com/lyrics/victorvictoria/crazyworld.htm
Louis Says	https://www.allmusicals.com/lyrics/victorvictoria/louissays.htm
King's Dilemma	https://www.allmusicals.com/lyrics/victorvictoria/kingsdilemma.htm
You and Me	https://www.allmusicals.com/lyrics/victorvictoria/youandme.htm
Almost a Love Song	https://www.allmusicals.com/lyrics/victorvictoria/almostalovesong.htm
Chicago, Illinois	https://www.allmusicals.com/lyrics/victorvictoria/chicagoillinois.htm
Living in the Shadows	https://www.allmusicals.com/lyrics/victorvictoria/livingintheshadows.htm
Living in the Shadows (Reprise)	https://www.allmusicals.com/lyrics/victorvictoria/livingintheshadowsreprise.htm
Victor Victoria	https://www.allmusicals.com/lyrics/victorvictoria/victorvictoria.htm
