song-name	url
What's Inside	https://www.allmusicals.com/lyrics/waitress/whatsinside.htm
Opening Up	https://www.allmusicals.com/lyrics/waitress/openingup.htm
The Negative	https://www.allmusicals.com/lyrics/waitress/thenegative.htm
What Baking Can Do	https://www.allmusicals.com/lyrics/waitress/whatbakingcando.htm
Club Knocked Up	https://www.allmusicals.com/lyrics/waitress/clubknockedup.htm
When He Sees Me	https://www.allmusicals.com/lyrics/waitress/whenheseesme.htm
It Only Takes a Taste	https://www.allmusicals.com/lyrics/waitress/itonlytakesataste.htm
You Will Still Be Mine	https://www.allmusicals.com/lyrics/waitress/youwillstillbemine.htm
A Soft Place To Land	https://www.allmusicals.com/lyrics/waitress/asoftplacetoland.htm
Never Ever Getting Rid of Me	https://www.allmusicals.com/lyrics/waitress/neverevergettingridofme.htm
Bad Idea	https://www.allmusicals.com/lyrics/waitress/badidea.htm
I Didn't Plan It	https://www.allmusicals.com/lyrics/waitress/ididntplanit.htm
Bad Idea (Reprise)	https://www.allmusicals.com/lyrics/waitress/badideareprise.htm
You Matter to Me	https://www.allmusicals.com/lyrics/waitress/youmattertome.htm
I Love You Like a Table	https://www.allmusicals.com/lyrics/waitress/iloveyoulikeatable.htm
Take It From an Old Man	https://www.allmusicals.com/lyrics/waitress/takeitfromanoldman.htm
She Used to Be Mine	https://www.allmusicals.com/lyrics/waitress/sheusedtobemine.htm
Everything Changes	https://www.allmusicals.com/lyrics/waitress/everythingchanges.htm
Opening Up (Finale)	https://www.allmusicals.com/lyrics/waitress/openingupfinale.htm
Pomatter Pie	https://www.allmusicals.com/lyrics/waitress/pomatterpie.htm
Dear Baby	https://www.allmusicals.com/lyrics/waitress/dearbaby.htm
Contraction Ballet	https://www.allmusicals.com/lyrics/waitress/contractionballet.htm
