song-name	url
It's Your Wedding Day	https://www.allmusicals.com/lyrics/weddingsinger/itsyourweddingday.htm
Someday	https://www.allmusicals.com/lyrics/weddingsinger/someday.htm
A Note From Linda	https://www.allmusicals.com/lyrics/weddingsinger/anotefromlinda.htm
Pop!	https://www.allmusicals.com/lyrics/weddingsinger/pop.htm
Somebody Kill Me	https://www.allmusicals.com/lyrics/weddingsinger/somebodykillme.htm
A Note From Grandma	https://www.allmusicals.com/lyrics/weddingsinger/anotefromgrandma.htm
Casualty of Love	https://www.allmusicals.com/lyrics/weddingsinger/casualtyoflove.htm
Come Out of the Dumpster	https://www.allmusicals.com/lyrics/weddingsinger/comeoutofthedumpster.htm
Today You Are a Man	https://www.allmusicals.com/lyrics/weddingsinger/todayyouareaman.htm
George's Prayer	https://www.allmusicals.com/lyrics/weddingsinger/georgesprayer.htm
Not That Kind of Thing	https://www.allmusicals.com/lyrics/weddingsinger/notthatkindofthing.htm
Saturday Night in the City	https://www.allmusicals.com/lyrics/weddingsinger/saturdaynightinthecity.htm
All About the Green	https://www.allmusicals.com/lyrics/weddingsinger/allaboutthegreen.htm
Someday (Reprise)	https://www.allmusicals.com/lyrics/weddingsinger/somedayreprise.htm
Right in Front of Your Eyes	https://www.allmusicals.com/lyrics/weddingsinger/rightinfrontofyoureyes.htm
Single	https://www.allmusicals.com/lyrics/weddingsinger/single.htm
If I Told You	https://www.allmusicals.com/lyrics/weddingsinger/ifitoldyou.htm
Let Me Come Home	https://www.allmusicals.com/lyrics/weddingsinger/letmecomehome.htm
If I Told You (Reprise)	https://www.allmusicals.com/lyrics/weddingsinger/ifitoldyoureprise.htm
Move That Thang	https://www.allmusicals.com/lyrics/weddingsinger/movethatthang.htm
Grow Old With You	https://www.allmusicals.com/lyrics/weddingsinger/growoldwithyou.htm
It's Your Wedding Day (Finale)	https://www.allmusicals.com/lyrics/weddingsinger/itsyourweddingdayfinale.htm
