song-name	url
Prologue	https://www.allmusicals.com/lyrics/westsidestory/prologue.htm
Overture	https://www.allmusicals.com/lyrics/westsidestory/overture.htm
Jet Song	https://www.allmusicals.com/lyrics/westsidestory/jetsong.htm
Something's Coming	https://www.allmusicals.com/lyrics/westsidestory/somethingscoming.htm
Dance at the Gym	https://www.allmusicals.com/lyrics/westsidestory/danceatthegym.htm
Maria	https://www.allmusicals.com/lyrics/westsidestory/maria.htm
Balcony Scene (Tonight)	https://www.allmusicals.com/lyrics/westsidestory/balconyscenetonight.htm
America	https://www.allmusicals.com/lyrics/westsidestory/america.htm
Cool	https://www.allmusicals.com/lyrics/westsidestory/cool.htm
One Hand, One Heart	https://www.allmusicals.com/lyrics/westsidestory/onehandoneheart.htm
Tonight (quintet)	https://www.allmusicals.com/lyrics/westsidestory/tonightquintet.htm
Rumble	https://www.allmusicals.com/lyrics/westsidestory/rumble.htm
I Feel Pretty	https://www.allmusicals.com/lyrics/westsidestory/ifeelpretty.htm
Somewhere	https://www.allmusicals.com/lyrics/westsidestory/somewhere.htm
Gee, Officer Krupke!	https://www.allmusicals.com/lyrics/westsidestory/geeofficerkrupke.htm
Boy Like That/I Have a Love	https://www.allmusicals.com/lyrics/westsidestory/boylikethatihavealove.htm
Finale	https://www.allmusicals.com/lyrics/westsidestory/finale.htm
