song-name	url
Innuendo	https://www.allmusicals.com/lyrics/wewillrockyou/innuendo.htm
Radio Ga Ga	https://www.allmusicals.com/lyrics/wewillrockyou/radiogaga.htm
I Want to Break Free	https://www.allmusicals.com/lyrics/wewillrockyou/iwanttobreakfree.htm
Somebody to Love	https://www.allmusicals.com/lyrics/wewillrockyou/somebodytolove.htm
Killer Queen	https://www.allmusicals.com/lyrics/wewillrockyou/killerqueen.htm
Play the Game	https://www.allmusicals.com/lyrics/wewillrockyou/playthegame.htm
Death on Two Legs	https://www.allmusicals.com/lyrics/wewillrockyou/deathontwolegs.htm
Under Pressure	https://www.allmusicals.com/lyrics/wewillrockyou/underpressure.htm
King of Magic	https://www.allmusicals.com/lyrics/wewillrockyou/kingofmagic.htm
I Want It All	https://www.allmusicals.com/lyrics/wewillrockyou/iwantitall.htm
Headlong	https://www.allmusicals.com/lyrics/wewillrockyou/headlong.htm
No-One But You	https://www.allmusicals.com/lyrics/wewillrockyou/noonebutyou.htm
Crazy Little Thing Called Love	https://www.allmusicals.com/lyrics/wewillrockyou/crazylittlethingcalledlove.htm
Ogre Battle	https://www.allmusicals.com/lyrics/wewillrockyou/ogrebattle.htm
One Vision	https://www.allmusicals.com/lyrics/wewillrockyou/onevision.htm
Who Wants to Live Forever	https://www.allmusicals.com/lyrics/wewillrockyou/whowantstoliveforever.htm
Flash	https://www.allmusicals.com/lyrics/wewillrockyou/flash.htm
Seven Seas of Rhye	https://www.allmusicals.com/lyrics/wewillrockyou/sevenseasofrhye.htm
Fat Bottomed Girls	https://www.allmusicals.com/lyrics/wewillrockyou/fatbottomedgirls.htm
Don't Stop Me Now	https://www.allmusicals.com/lyrics/wewillrockyou/dontstopmenow.htm
Another One Bites the Dust	https://www.allmusicals.com/lyrics/wewillrockyou/anotheronebitesthedust.htm
Hammer to Fall	https://www.allmusicals.com/lyrics/wewillrockyou/hammertofall.htm
Thesew Are the Days of Our Live	https://www.allmusicals.com/lyrics/wewillrockyou/thesewarethedaysofourlive.htm
Bicycle Race	https://www.allmusicals.com/lyrics/wewillrockyou/bicyclerace.htm
Brighton Rock	https://www.allmusicals.com/lyrics/wewillrockyou/brightonrock.htm
Tie Your Mother Down	https://www.allmusicals.com/lyrics/wewillrockyou/tieyourmotherdown.htm
We Will Rock You	https://www.allmusicals.com/lyrics/wewillrockyou/wewillrockyou.htm
We Are the Champions	https://www.allmusicals.com/lyrics/wewillrockyou/wearethechampions.htm
We Will Rock You (fast version)	https://www.allmusicals.com/lyrics/wewillrockyou/wewillrockyoufastversion.htm
Bohemian Rhapsody	https://www.allmusicals.com/lyrics/wewillrockyou/bohemianrhapsody.htm
