song-name	url
Overture	https://www.allmusicals.com/lyrics/whitechristmas/overture.htm
Happy Holidays	https://www.allmusicals.com/lyrics/whitechristmas/happyholidays.htm
White Christmas	https://www.allmusicals.com/lyrics/whitechristmas/whitechristmas.htm
Let Yourself Go	https://www.allmusicals.com/lyrics/whitechristmas/letyourselfgo.htm
Love and the Weather	https://www.allmusicals.com/lyrics/whitechristmas/loveandtheweather.htm
Sisters	https://www.allmusicals.com/lyrics/whitechristmas/sisters.htm
The Best Things Happen When You Are Dancing	https://www.allmusicals.com/lyrics/whitechristmas/thebestthingshappenwhenyouaredancing.htm
Snow	https://www.allmusicals.com/lyrics/whitechristmas/snow.htm
What Can You do With A General?	https://www.allmusicals.com/lyrics/whitechristmas/whatcanyoudowithageneral.htm
Let Me Sing and I AM Happy	https://www.allmusicals.com/lyrics/whitechristmas/letmesingandiamhappy.htm
Count Your Blessings	https://www.allmusicals.com/lyrics/whitechristmas/countyourblessings.htm
Blue Skies	https://www.allmusicals.com/lyrics/whitechristmas/blueskies.htm
I Love A Piano	https://www.allmusicals.com/lyrics/whitechristmas/iloveapiano.htm
Falling Out of Love	https://www.allmusicals.com/lyrics/whitechristmas/fallingoutoflove.htm
Love , You didn't Do Right By Me	https://www.allmusicals.com/lyrics/whitechristmas/loveyoudidntdorightbyme.htm
How Deep Is The Ocean?	https://www.allmusicals.com/lyrics/whitechristmas/howdeepistheocean.htm
We'll Follow the Old Man	https://www.allmusicals.com/lyrics/whitechristmas/wellfollowtheoldman.htm
I've Got My Love to Keep Me Warm	https://www.allmusicals.com/lyrics/whitechristmas/ivegotmylovetokeepmewarm.htm
