song-name	url
Overture / Captain Walker	https://www.allmusicals.com/lyrics/whostommythe/overturecaptainwalker.htm
It's A Boy / We've Won	https://www.allmusicals.com/lyrics/whostommythe/itsaboywevewon.htm
Twenty-One	https://www.allmusicals.com/lyrics/whostommythe/twentyone.htm
Amazing Journey	https://www.allmusicals.com/lyrics/whostommythe/amazingjourney.htm
Sparks	https://www.allmusicals.com/lyrics/whostommythe/sparks.htm
Christmas	https://www.allmusicals.com/lyrics/whostommythe/christmas.htm
Do You Think It's Alright	https://www.allmusicals.com/lyrics/whostommythe/doyouthinkitsalright.htm
Fiddle About	https://www.allmusicals.com/lyrics/whostommythe/fiddleabout.htm
See Me, Feel Me	https://www.allmusicals.com/lyrics/whostommythe/seemefeelme.htm
Cousin Kevin	https://www.allmusicals.com/lyrics/whostommythe/cousinkevin.htm
Sensation	https://www.allmusicals.com/lyrics/whostommythe/sensation.htm
Eyesight To The Blind	https://www.allmusicals.com/lyrics/whostommythe/eyesighttotheblind.htm
Acid Queen	https://www.allmusicals.com/lyrics/whostommythe/acidqueen.htm
Pinball Wizard	https://www.allmusicals.com/lyrics/whostommythe/pinballwizard.htm
Underture	https://www.allmusicals.com/lyrics/whostommythe/underture.htm
Go To The Mirror	https://www.allmusicals.com/lyrics/whostommythe/gotothemirror.htm
Tommy, Can You Hear Me?	https://www.allmusicals.com/lyrics/whostommythe/tommycanyouhearme.htm
I Believe My Own Eyes	https://www.allmusicals.com/lyrics/whostommythe/ibelievemyowneyes.htm
Smash The Mirror	https://www.allmusicals.com/lyrics/whostommythe/smashthemirror.htm
I'm Free	https://www.allmusicals.com/lyrics/whostommythe/imfree.htm
Streets Of London 1961-63 / Miracle Cure	https://www.allmusicals.com/lyrics/whostommythe/streetsoflondon196163miraclecure.htm
Tommy's Holiday Camp	https://www.allmusicals.com/lyrics/whostommythe/tommysholidaycamp.htm
Sally Simpson	https://www.allmusicals.com/lyrics/whostommythe/sallysimpson.htm
Welcome	https://www.allmusicals.com/lyrics/whostommythe/welcome.htm
Sally Simpson's Question	https://www.allmusicals.com/lyrics/whostommythe/sallysimpsonsquestion.htm
We're Not Gonna Take It /See Me, Feel Me (Reprise)	https://www.allmusicals.com/lyrics/whostommythe/werenotgonnatakeitseemefeelmereprise.htm
