song-name	url
No One Mourns the Wicked	https://www.allmusicals.com/lyrics/wicked/noonemournsthewicked.htm
Dear Old Shiz	https://www.allmusicals.com/lyrics/wicked/dearoldshiz.htm
The Wizard and I	https://www.allmusicals.com/lyrics/wicked/thewizardandi.htm
What Is This Feeling?	https://www.allmusicals.com/lyrics/wicked/whatisthisfeeling.htm
Something Bad	https://www.allmusicals.com/lyrics/wicked/somethingbad.htm
Dancing Through Life	https://www.allmusicals.com/lyrics/wicked/dancingthroughlife.htm
Popular	https://www.allmusicals.com/lyrics/wicked/popular.htm
I'm Not That Girl	https://www.allmusicals.com/lyrics/wicked/imnotthatgirl.htm
One Short Day	https://www.allmusicals.com/lyrics/wicked/oneshortday.htm
A Sentimental Man	https://www.allmusicals.com/lyrics/wicked/asentimentalman.htm
Defying Gravity	https://www.allmusicals.com/lyrics/wicked/defyinggravity.htm
Thank Goodness	https://www.allmusicals.com/lyrics/wicked/thankgoodness.htm
The Wicked Witch of the East	https://www.allmusicals.com/lyrics/wicked/thewickedwitchoftheeast.htm
Wonderful	https://www.allmusicals.com/lyrics/wicked/wonderful.htm
I'm Not That Girl (Reprise)	https://www.allmusicals.com/lyrics/wicked/imnotthatgirlreprise.htm
As Long as You're Mine	https://www.allmusicals.com/lyrics/wicked/aslongasyouremine.htm
No Good Deed	https://www.allmusicals.com/lyrics/wicked/nogooddeed.htm
March of the Witch Hunters	https://www.allmusicals.com/lyrics/wicked/marchofthewitchhunters.htm
For Good	https://www.allmusicals.com/lyrics/wicked/forgood.htm
Finale	https://www.allmusicals.com/lyrics/wicked/finale.htm
