song-name	url
Queenie Was A Blonde	https://www.allmusicals.com/lyrics/wildparty/queeniewasablonde.htm
Out Of The Blues	https://www.allmusicals.com/lyrics/wildparty/outoftheblues.htm
What A Party	https://www.allmusicals.com/lyrics/wildparty/whataparty.htm
Raise The Roof	https://www.allmusicals.com/lyrics/wildparty/raisetheroof.htm
Look At Me Now	https://www.allmusicals.com/lyrics/wildparty/lookatmenow.htm
Poor Child	https://www.allmusicals.com/lyrics/wildparty/poorchild.htm
An Old-Fashioned Love Story	https://www.allmusicals.com/lyrics/wildparty/anoldfashionedlovestory.htm
By Now The Room Was Moving	https://www.allmusicals.com/lyrics/wildparty/bynowtheroomwasmoving.htm
The Juggernaut	https://www.allmusicals.com/lyrics/wildparty/thejuggernaut.htm
A Wild, Wild Party	https://www.allmusicals.com/lyrics/wildparty/awildwildparty.htm
Two Of A Kind	https://www.allmusicals.com/lyrics/wildparty/twoofakind.htm
Maybe I Like It This Way	https://www.allmusicals.com/lyrics/wildparty/maybeilikeitthisway.htm
What Is It About Her?	https://www.allmusicals.com/lyrics/wildparty/whatisitabouther.htm
The Life Of The Party	https://www.allmusicals.com/lyrics/wildparty/thelifeoftheparty.htm
I'll Be Here	https://www.allmusicals.com/lyrics/wildparty/illbehere.htm
Let Me Drown	https://www.allmusicals.com/lyrics/wildparty/letmedrown.htm
Tell Me Something	https://www.allmusicals.com/lyrics/wildparty/tellmesomething.htm
Come With Me	https://www.allmusicals.com/lyrics/wildparty/comewithme.htm
Jackie's Last Dance	https://www.allmusicals.com/lyrics/wildparty/jackieslastdance.htm
Make Me Happy	https://www.allmusicals.com/lyrics/wildparty/makemehappy.htm
How Did We Come To This?/Queenie Was A Blonde (Reprise)	https://www.allmusicals.com/lyrics/wildparty/howdidwecometothisqueeniewasablondereprise.htm
Queenie Was A Blonde	https://www.allmusicals.com/lyrics/wildparty/queeniewasablonde.htm
Marie Is Tricky	https://www.allmusicals.com/lyrics/wildparty/marieistricky.htm
Wild Party	https://www.allmusicals.com/lyrics/wildparty/wildparty.htm
Dry	https://www.allmusicals.com/lyrics/wildparty/dry.htm
Welcome To My Party	https://www.allmusicals.com/lyrics/wildparty/welcometomyparty.htm
Like Sally	https://www.allmusicals.com/lyrics/wildparty/likesally.htm
Uptown	https://www.allmusicals.com/lyrics/wildparty/uptown.htm
Eddie & Mae	https://www.allmusicals.com/lyrics/wildparty/eddiemae.htm
Gold & Goldberg	https://www.allmusicals.com/lyrics/wildparty/goldgoldberg.htm
Moving Uptown	https://www.allmusicals.com/lyrics/wildparty/movinguptown.htm
Best Friend	https://www.allmusicals.com/lyrics/wildparty/bestfriend.htm
A Little Mmm	https://www.allmusicals.com/lyrics/wildparty/alittlemmm.htm
Tabu / Taking Care Of The Ladies	https://www.allmusicals.com/lyrics/wildparty/tabutakingcareoftheladies.htm
Wouldn't It Be Nice?	https://www.allmusicals.com/lyrics/wildparty/wouldntitbenice.htm
Lowdown-Down	https://www.allmusicals.com/lyrics/wildparty/lowdowndown.htm
Gin / Wild	https://www.allmusicals.com/lyrics/wildparty/ginwild.htm
Black Is A Moocher	https://www.allmusicals.com/lyrics/wildparty/blackisamoocher.htm
People Like Us	https://www.allmusicals.com/lyrics/wildparty/peoplelikeus.htm
After Midnight Dies	https://www.allmusicals.com/lyrics/wildparty/aftermidnightdies.htm
When The Golden Boy Goes Down	https://www.allmusicals.com/lyrics/wildparty/whenthegoldenboygoesdown.htm
The Movin' Uptown Blues	https://www.allmusicals.com/lyrics/wildparty/themovinuptownblues.htm
The Lights Of Broadway	https://www.allmusicals.com/lyrics/wildparty/thelightsofbroadway.htm
More	https://www.allmusicals.com/lyrics/wildparty/more.htm
Love Ain't Nothin'/ Welcome To Her Party	https://www.allmusicals.com/lyrics/wildparty/loveaintnothinwelcometoherparty.htm
How Many Women In The World?	https://www.allmusicals.com/lyrics/wildparty/howmanywomenintheworld.htm
When It Ends	https://www.allmusicals.com/lyrics/wildparty/whenitends.htm
This Is What It Is	https://www.allmusicals.com/lyrics/wildparty/thisiswhatitis.htm
"Finale ""The Wild Party"""	https://www.allmusicals.com/lyrics/wildparty/finalethewildparty.htm
