song-name	url
Overture	https://www.allmusicals.com/lyrics/wizardofozthe/overture.htm
Nobody Understands Me	https://www.allmusicals.com/lyrics/wizardofozthe/nobodyunderstandsme.htm
Over The Rainbow	https://www.allmusicals.com/lyrics/wizardofozthe/overtherainbow.htm
The Twister	https://www.allmusicals.com/lyrics/wizardofozthe/thetwister.htm
Tornado	https://www.allmusicals.com/lyrics/wizardofozthe/tornado.htm
Arrival In Munchkinland	https://www.allmusicals.com/lyrics/wizardofozthe/arrivalinmunchkinland.htm
MunchkinLand	https://www.allmusicals.com/lyrics/wizardofozthe/munchkinland.htm
Follow The Yellow Brick Road!	https://www.allmusicals.com/lyrics/wizardofozthe/followtheyellowbrickroad.htm
If I Only Had A Brain	https://www.allmusicals.com/lyrics/wizardofozthe/ifionlyhadabrain.htm
If I Only Had A Heart	https://www.allmusicals.com/lyrics/wizardofozthe/ifionlyhadaheart.htm
If I Only Had the Nerve	https://www.allmusicals.com/lyrics/wizardofozthe/ifionlyhadthenerve.htm
Optimistic Voices / We're Outta The Woods	https://www.allmusicals.com/lyrics/wizardofozthe/optimisticvoiceswereouttathewoods.htm
Merry Old Land of Oz	https://www.allmusicals.com/lyrics/wizardofozthe/merryoldlandofoz.htm
Poppies / Act I Finale	https://www.allmusicals.com/lyrics/wizardofozthe/poppiesactifinale.htm
March of the Winkies	https://www.allmusicals.com/lyrics/wizardofozthe/marchofthewinkies.htm
Red Shoes Blues	https://www.allmusicals.com/lyrics/wizardofozthe/redshoesblues.htm
Jitterbug	https://www.allmusicals.com/lyrics/wizardofozthe/jitterbug.htm
The Rescue - Melting	https://www.allmusicals.com/lyrics/wizardofozthe/therescuemelting.htm
Hail – Hail! The Witch is Dead	https://www.allmusicals.com/lyrics/wizardofozthe/hailhailthewitchisdead.htm
Finale	https://www.allmusicals.com/lyrics/wizardofozthe/finale.htm
