song-name	url
Overture	https://www.allmusicals.com/lyrics/wonderfultown/overture.htm
Christopher Street	https://www.allmusicals.com/lyrics/wonderfultown/christopherstreet.htm
Ohio	https://www.allmusicals.com/lyrics/wonderfultown/ohio.htm
One Hundred Easy Ways	https://www.allmusicals.com/lyrics/wonderfultown/onehundredeasyways.htm
What A Waste	https://www.allmusicals.com/lyrics/wonderfultown/whatawaste.htm
Little Bit Of Love, A	https://www.allmusicals.com/lyrics/wonderfultown/littlebitoflovea.htm
Pass The Football	https://www.allmusicals.com/lyrics/wonderfultown/passthefootball.htm
Quiet Girl, A	https://www.allmusicals.com/lyrics/wonderfultown/quietgirla.htm
Conga!	https://www.allmusicals.com/lyrics/wonderfultown/conga.htm
My Darlin' Eileen	https://www.allmusicals.com/lyrics/wonderfultown/mydarlineileen.htm
Swing!	https://www.allmusicals.com/lyrics/wonderfultown/swing.htm
Ballet at the Village Vortex	https://www.allmusicals.com/lyrics/wonderfultown/balletatthevillagevortex.htm
Wrong Note Rag	https://www.allmusicals.com/lyrics/wonderfultown/wrongnoterag.htm
