song-name	url
Overture	https://www.allmusicals.com/lyrics/wonderlandalicesnewmusicaladventure/overture.htm
Worst Day of My Life	https://www.allmusicals.com/lyrics/wonderlandalicesnewmusicaladventure/worstdayofmylife.htm
Down the Rabbit Hole	https://www.allmusicals.com/lyrics/wonderlandalicesnewmusicaladventure/downtherabbithole.htm
Welcome to Wonderland	https://www.allmusicals.com/lyrics/wonderlandalicesnewmusicaladventure/welcometowonderland.htm
Drink Me	https://www.allmusicals.com/lyrics/wonderlandalicesnewmusicaladventure/drinkme.htm
Advice From a Caterpillar	https://www.allmusicals.com/lyrics/wonderlandalicesnewmusicaladventure/advicefromacaterpillar.htm
Go With The Flow	https://www.allmusicals.com/lyrics/wonderlandalicesnewmusicaladventure/gowiththeflow.htm
One Knight	https://www.allmusicals.com/lyrics/wonderlandalicesnewmusicaladventure/oneknight.htm
Mad Tea Party	https://www.allmusicals.com/lyrics/wonderlandalicesnewmusicaladventure/madteaparty.htm
The Mad Hatter	https://www.allmusicals.com/lyrics/wonderlandalicesnewmusicaladventure/themadhatter.htm
Home	https://www.allmusicals.com/lyrics/wonderlandalicesnewmusicaladventure/home.htm
A Nice Little Walk	https://www.allmusicals.com/lyrics/wonderlandalicesnewmusicaladventure/anicelittlewalk.htm
Through the Looking Glass	https://www.allmusicals.com/lyrics/wonderlandalicesnewmusicaladventure/throughthelookingglass.htm
I Will Prevail	https://www.allmusicals.com/lyrics/wonderlandalicesnewmusicaladventure/iwillprevail.htm
I Am My Own Invention	https://www.allmusicals.com/lyrics/wonderlandalicesnewmusicaladventure/iammyowninvention.htm
Off with Their Heads!	https://www.allmusicals.com/lyrics/wonderlandalicesnewmusicaladventure/offwiththeirheads.htm
Once More I Can See	https://www.allmusicals.com/lyrics/wonderlandalicesnewmusicaladventure/oncemoreicansee.htm
Heroes	https://www.allmusicals.com/lyrics/wonderlandalicesnewmusicaladventure/heroes.htm
Finding Wonderland	https://www.allmusicals.com/lyrics/wonderlandalicesnewmusicaladventure/findingwonderland.htm
Curiouser and Curiouser	https://www.allmusicals.com/lyrics/wonderlandalicesnewmusicaladventure/curiouserandcuriouser.htm
The Mad Hatter (alternative)	https://www.allmusicals.com/lyrics/wonderlandalicesnewmusicaladventure/themadhatteralternative.htm
Love Begins	https://www.allmusicals.com/lyrics/wonderlandalicesnewmusicaladventure/lovebegins.htm
Advice From a Caterpillar (alternative)	https://www.allmusicals.com/lyrics/wonderlandalicesnewmusicaladventure/advicefromacaterpillaralternative.htm
Hail the Queen	https://www.allmusicals.com/lyrics/wonderlandalicesnewmusicaladventure/hailthequeen.htm
