song-name	url
All The Livelong Day	https://www.allmusicals.com/lyrics/working/allthelivelongday.htm
Traffic Jam	https://www.allmusicals.com/lyrics/working/trafficjam.htm
Lovin' Al	https://www.allmusicals.com/lyrics/working/lovinal.htm
Nobody Tells Me How	https://www.allmusicals.com/lyrics/working/nobodytellsmehow.htm
I'm Just Movin'	https://www.allmusicals.com/lyrics/working/imjustmovin.htm
Un Mejor Dia Vendra	https://www.allmusicals.com/lyrics/working/unmejordiavendra.htm
Neat to Be a Newsboy	https://www.allmusicals.com/lyrics/working/neattobeanewsboy.htm
Just A Housewife	https://www.allmusicals.com/lyrics/working/justahousewife.htm
Millwork	https://www.allmusicals.com/lyrics/working/millwork.htm
If I Could've Been	https://www.allmusicals.com/lyrics/working/ificouldvebeen.htm
The Mason	https://www.allmusicals.com/lyrics/working/themason.htm
Brother Trucker	https://www.allmusicals.com/lyrics/working/brothertrucker.htm
It's an Art	https://www.allmusicals.com/lyrics/working/itsanart.htm
Joe	https://www.allmusicals.com/lyrics/working/joe.htm
Cleanin' Women	https://www.allmusicals.com/lyrics/working/cleaninwomen.htm
Fathers & Sons	https://www.allmusicals.com/lyrics/working/fatherssons.htm
Something to Point To	https://www.allmusicals.com/lyrics/working/somethingtopointto.htm
