song-name	url
I'm Alive	https://www.allmusicals.com/lyrics/xanadu/imalive.htm
Magic	https://www.allmusicals.com/lyrics/xanadu/magic.htm
Evil Woman	https://www.allmusicals.com/lyrics/xanadu/evilwoman.htm
Suddenly	https://www.allmusicals.com/lyrics/xanadu/suddenly.htm
Whenever You're Away From Me	https://www.allmusicals.com/lyrics/xanadu/wheneveryoureawayfromme.htm
Dancin'	https://www.allmusicals.com/lyrics/xanadu/dancin.htm
Strange Magic	https://www.allmusicals.com/lyrics/xanadu/strangemagic.htm
All Over The World	https://www.allmusicals.com/lyrics/xanadu/allovertheworld.htm
Don't Walk Away	https://www.allmusicals.com/lyrics/xanadu/dontwalkaway.htm
Fool	https://www.allmusicals.com/lyrics/xanadu/fool.htm
The Fall	https://www.allmusicals.com/lyrics/xanadu/thefall.htm
Suspended In Time	https://www.allmusicals.com/lyrics/xanadu/suspendedintime.htm
Have You Never Been Mellow?	https://www.allmusicals.com/lyrics/xanadu/haveyouneverbeenmellow.htm
Xanadu	https://www.allmusicals.com/lyrics/xanadu/xanadu.htm
