song-name	url
Opening	https://www.allmusicals.com/lyrics/yearwithfrogandtoada/opening.htm
A Year With Frog And Toad	https://www.allmusicals.com/lyrics/yearwithfrogandtoada/ayearwithfrogandtoad.htm
Spring	https://www.allmusicals.com/lyrics/yearwithfrogandtoada/spring.htm
Seeds	https://www.allmusicals.com/lyrics/yearwithfrogandtoada/seeds.htm
The Letter	https://www.allmusicals.com/lyrics/yearwithfrogandtoada/theletter.htm
Getta Loada Toad	https://www.allmusicals.com/lyrics/yearwithfrogandtoada/gettaloadatoad.htm
Underwater Ballet	https://www.allmusicals.com/lyrics/yearwithfrogandtoada/underwaterballet.htm
Alone	https://www.allmusicals.com/lyrics/yearwithfrogandtoada/alone.htm
The Letter (Reprise)	https://www.allmusicals.com/lyrics/yearwithfrogandtoada/theletterreprise.htm
Cookies	https://www.allmusicals.com/lyrics/yearwithfrogandtoada/cookies.htm
The Kite	https://www.allmusicals.com/lyrics/yearwithfrogandtoada/thekite.htm
A Year With Frog And Toad (Reprise)	https://www.allmusicals.com/lyrics/yearwithfrogandtoada/ayearwithfrogandtoadreprise.htm
He'll Never Know	https://www.allmusicals.com/lyrics/yearwithfrogandtoada/hellneverknow.htm
Shivers	https://www.allmusicals.com/lyrics/yearwithfrogandtoada/shivers.htm
Snow Ballet	https://www.allmusicals.com/lyrics/yearwithfrogandtoada/snowballet.htm
The Letter  (Reprise 2)	https://www.allmusicals.com/lyrics/yearwithfrogandtoada/theletterreprise2.htm
Down The Hill	https://www.allmusicals.com/lyrics/yearwithfrogandtoada/downthehill.htm
I'm Coming Out Of My Shell	https://www.allmusicals.com/lyrics/yearwithfrogandtoada/imcomingoutofmyshell.htm
Toad To The Rescue	https://www.allmusicals.com/lyrics/yearwithfrogandtoada/toadtotherescue.htm
Merry Almost Christmas	https://www.allmusicals.com/lyrics/yearwithfrogandtoada/merryalmostchristmas.htm
Finale	https://www.allmusicals.com/lyrics/yearwithfrogandtoada/finale.htm
