song-name	url
Overture	https://www.allmusicals.com/lyrics/youngfrankenstein/overture.htm
The Happiest Town	https://www.allmusicals.com/lyrics/youngfrankenstein/thehappiesttown.htm
The Brain	https://www.allmusicals.com/lyrics/youngfrankenstein/thebrain.htm
Please Don't Touch Me	https://www.allmusicals.com/lyrics/youngfrankenstein/pleasedonttouchme.htm
Together Again	https://www.allmusicals.com/lyrics/youngfrankenstein/togetheragain.htm
Roll In The Hay	https://www.allmusicals.com/lyrics/youngfrankenstein/rollinthehay.htm
Join The Family Business	https://www.allmusicals.com/lyrics/youngfrankenstein/jointhefamilybusiness.htm
He Vas My Boyfriend	https://www.allmusicals.com/lyrics/youngfrankenstein/hevasmyboyfriend.htm
The Law	https://www.allmusicals.com/lyrics/youngfrankenstein/thelaw.htm
Life, Life	https://www.allmusicals.com/lyrics/youngfrankenstein/lifelife.htm
Welcome To Transylvania	https://www.allmusicals.com/lyrics/youngfrankenstein/welcometotransylvania.htm
Transylvania Mania	https://www.allmusicals.com/lyrics/youngfrankenstein/transylvaniamania.htm
He's Loose	https://www.allmusicals.com/lyrics/youngfrankenstein/hesloose.htm
Listen to Your Heart	https://www.allmusicals.com/lyrics/youngfrankenstein/listentoyourheart.htm
Surprise	https://www.allmusicals.com/lyrics/youngfrankenstein/surprise.htm
Please Send Me Someone	https://www.allmusicals.com/lyrics/youngfrankenstein/pleasesendmesomeone.htm
Man About Town	https://www.allmusicals.com/lyrics/youngfrankenstein/manabouttown.htm
Puttin' On The Ritz	https://www.allmusicals.com/lyrics/youngfrankenstein/puttinontheritz.htm
Deep Love	https://www.allmusicals.com/lyrics/youngfrankenstein/deeplove.htm
Frederick's Soliloquy	https://www.allmusicals.com/lyrics/youngfrankenstein/frederickssoliloquy.htm
Finale	https://www.allmusicals.com/lyrics/youngfrankenstein/finale.htm
