song-name	url
You're a Good Man, Charlie Brown	https://www.allmusicals.com/lyrics/youreagoodmancharliebrown/youreagoodmancharliebrown.htm
Schroeder	https://www.allmusicals.com/lyrics/youreagoodmancharliebrown/schroeder.htm
Snoopy	https://www.allmusicals.com/lyrics/youreagoodmancharliebrown/snoopy.htm
My Blanket and Me	https://www.allmusicals.com/lyrics/youreagoodmancharliebrown/myblanketandme.htm
Kite	https://www.allmusicals.com/lyrics/youreagoodmancharliebrown/kite.htm
Doctor Is In	https://www.allmusicals.com/lyrics/youreagoodmancharliebrown/doctorisin.htm
Beethoven Day	https://www.allmusicals.com/lyrics/youreagoodmancharliebrown/beethovenday.htm
Book Report	https://www.allmusicals.com/lyrics/youreagoodmancharliebrown/bookreport.htm
My New Philosophy	https://www.allmusicals.com/lyrics/youreagoodmancharliebrown/mynewphilosophy.htm
T-E-A-M (The Baseball Game)	https://www.allmusicals.com/lyrics/youreagoodmancharliebrown/teamthebaseballgame.htm
Glee Club Rehersal	https://www.allmusicals.com/lyrics/youreagoodmancharliebrown/gleeclubrehersal.htm
Little Known Facts	https://www.allmusicals.com/lyrics/youreagoodmancharliebrown/littleknownfacts.htm
Suppertime	https://www.allmusicals.com/lyrics/youreagoodmancharliebrown/suppertime.htm
Happiness	https://www.allmusicals.com/lyrics/youreagoodmancharliebrown/happiness.htm
Bows	https://www.allmusicals.com/lyrics/youreagoodmancharliebrown/bows.htm
