song-name	url
Who's Got Extra Love?	https://www.allmusicals.com/lyrics/zannadont/whosgotextralove.htm
I Think We Got Love	https://www.allmusicals.com/lyrics/zannadont/ithinkwegotlove.htm
I Ain't Got Time	https://www.allmusicals.com/lyrics/zannadont/iaintgottime.htm
Ride 'Em	https://www.allmusicals.com/lyrics/zannadont/rideem.htm
Zanna's Song	https://www.allmusicals.com/lyrics/zannadont/zannassong.htm
Be A Man	https://www.allmusicals.com/lyrics/zannadont/beaman.htm
Don't Ask, Don't Tell	https://www.allmusicals.com/lyrics/zannadont/dontaskdonttell.htm
Fast	https://www.allmusicals.com/lyrics/zannadont/fast.htm
I Could Write Books	https://www.allmusicals.com/lyrics/zannadont/icouldwritebooks.htm
Don't You Wish We Could Be In Love?	https://www.allmusicals.com/lyrics/zannadont/dontyouwishwecouldbeinlove.htm
Whatcha Got?	https://www.allmusicals.com/lyrics/zannadont/whatchagot.htm
Do You Know What It's Like?	https://www.allmusicals.com/lyrics/zannadont/doyouknowwhatitslike.htm
'Tis A Far, Far Better Thing I Do	https://www.allmusicals.com/lyrics/zannadont/tisafarfarbetterthingido.htm
Blow Winds	https://www.allmusicals.com/lyrics/zannadont/blowwinds.htm
Straight To Heaven	https://www.allmusicals.com/lyrics/zannadont/straighttoheaven.htm
Someday You Might Love Me	https://www.allmusicals.com/lyrics/zannadont/somedayyoumightloveme.htm
Straight To Heaven (Reprise)	https://www.allmusicals.com/lyrics/zannadont/straighttoheavenreprise.htm
Sometime, Do You Think We Could Fall In Love	https://www.allmusicals.com/lyrics/zannadont/sometimedoyouthinkwecouldfallinlove.htm
Finale	https://www.allmusicals.com/lyrics/zannadont/finale.htm
